,NOM,NOMBRE
80338,BENCHIKH,107
80360,BENCHIMOL,132
80610,BENDAOUD,149
80737,BENDER,156
81117,BENE,147
81135,BENECH,297
81167,BENEDETTI,526
81174,BENEDETTO,177
81489,BENET,405
81501,BENETEAU,460
81587,BENEY,155
81604,BENEZECH,251
81605,BENEZET,164
82158,BENGUIGUI,271
82407,BENHAIM,291
82611,BENHAMMOU,145
82630,BENHAMOU,1116
82631,BEN HAMOU,160
82637,BEN HAMOUDA,151
82774,BEN HASSEN,143
82780,BEN HASSINE,190
83070,BENICHOU,724
83103,BENIER,146
83247,BENISTI,110
83258,BENITAH,221
83273,BENITEZ,144
83307,BENITO,188
83405,BENJAMIN,352
83732,BENKEMOUN,126
83814,BEN KHALIFA,102
84510,BENMANSOUR,156
84511,BEN MANSOUR,139
84756,BEN MESSAOUD,131
